Title	MMSID	ISSN	ISSN1	ISSN		
International journal of epilepsy.	99161967134201452	2213-6320		2213-6320		
international journal of esthetic dentistry.		2198-591X		2198-591X		
International journal of evidence-based healthcare.	99158192460001452	1744-1595	1744-1609	1744-1595		
International journal of experimental pathology.	99157830110001452	0959-9673	1365-2613	0959-9673		
International journal of Fertility and Sterility.	99157405620001452	2008-076X	2008-0778	2008-076X		
International journal of Food microbiology.	99161967657601452	0168-1605	1879-3460	0168-1605		
International journal of food sciences and nutrition.	99157830790001452	0963-7486	1465-3478	0963-7486		
International journal of general medicine.	99157368300001452		1178-7074			
International journal of genomics.	99157412550001452	2314-436X	2314-4378	2314-436X		
International journal of geriatric psychiatry.	99157830400001452	0885-6230	1099-1166	0885-6230		
International journal of gerontology.	99161930260401452	1873-9598	1873-958X	1873-9598		
International journal of green nanotechnology.	99160790770001452	1943-0892	1943-0906	1943-0892		
International journal of green pharmacy.	99157368760001452	0973-8258	1998-4103	0973-8258		
International journal of group psychotherapy.	 	0020-7284	1943-2836	0020-7284		
International journal of gynecological cancer: official journal of the International Gynecological Cancer Society.	99158529410001452	1048-891X	1525-1438	1048-891X		
International journal of gynecological pathology: official journal of the International Society of Gynecological Pathologists.	99158507180001452	0277-1691	1538-7151	0277-1691		
International journal of gynecology and obstetrics.	99158436050001452	0020-7292	1879-3479	0020-7292		
International journal of health care quality assurance.		0952-6862		0952-6862		
International journal of health economics and management.	 	2199-9023	2199-9031	2199-9023		
International journal of health geographics.	99157229880001452		1476-072X			
International journal of health planning and management.	99158527190001452	0749-6753	1099-1751	0749-6753		
International journal of health policy and management.	99159248820001452		2322-5939			
International journal of health promotion and education.	99158192410001452	1463-5240	2164-9545	1463-5240		
International journal of health research.			1596-9819			
"International journal of health services : planning, administration, evaluation."	99158423790001452	0020-7314		0020-7314		
International journal of healthcare technology and management.	 	1368-2156	1741-5144	1368-2156		
International journal of hematologic oncology.	 	2045-1393	2045-1407	2045-1393		
International journal of hematology.	 	0925-5710	1865-3774	0925-5710		
International journal of hematology-Oncology and Stem cell research.	99157486240001452	1735-1243	2008-2207	1735-1243		
International journal of hepatology.	99157381030001452	2090-3448	2090-3456	2090-3448		
International journal of high dilution research.	99157366100001452		1982-6206			
International journal of human genetics.		0972-3757		0972-3757		
International journal of hygiene and environmental health.	99161967395601452	1438-4639	1618-131X	1438-4639		
International journal of hypertension.	99157407770001452	2090-0384	2090-0392	2090-0384		
International journal of hyperthermia.	99157829910001452	0265-6736	1464-5157	0265-6736		
International journal of immunogenetics.	99157830730001452	1744-3121	1744-313X	1744-3121		
International journal of immunopathology and pharmacology.	99161987458501452	0394-6320		0394-6320		
International journal of impotence research.	99157719450001452	0955-9930	1476-5489	0955-9930		
International journal of Industrial Ergonomics.	99161967520801452	0169-8141	1872-8219	0169-8141		
International journal of infectious diseases: IJID: official publication of the International Society for Infectious Diseases.	99157440960001452	1201-9712	1878-3511	1201-9712		
International journal of infertility and Fetal medicine.	 	2229-3817	2229-3833	2229-3817		
International journal of inflammation.	99157371050001452	2090-8040	2042-0099	2090-8040		
International journal of injury control and safety promotion.	99157811590001452	1745-7300	1745-7319	1745-7300		
International journal of integrative biology.		0974-2816		0974-2816		
International journal of intensive shortterm dynamic psychotherapy.	99162001993801452	1096-7028	1099-1182	1096-7028		
"International journal of interferon, Cytokine and Mediator research."	99157383350001452		1179-139X			
International journal of knowledge-based intelligent engineering systems.	99157830640001452	1327-2314	1875-8827	1327-2314		
International journal of laboratory hematology.	99157849880001452	1751-5521	1751-553X	1751-5521		
International journal of language & communication disorders.	99158193490001452	1368-2822	1460-6984	1368-2822		
International journal of law and psychiatry.	99161967390601452	0160-2527	1873-6386	0160-2527		
International journal of legal medicine.	99158514540001452	0937-9827	1437-1596	0937-9827		
International journal of life Cycle Assessment.	99158518390001452	0948-3349	1614-7502	0948-3349		
International journal of life sciences biotechnology and pharma research.	99162050450601452		2250-3137			
International journal of low radiation.	 	1477-6545	1741-9190	1477-6545		
International journal of lower Extremity wounds.	99158501650001452	1534-7346	1552-6941	1534-7346		
International journal of medical education.	99157372600001452		2042-6372			
International journal of medical engineering and informatics.	 	1755-0653	1755-0661	1755-0653		
International journal of medical informatics.	99158432400001452	1386-5056	1872-8243	1386-5056		
International journal of medical microbiology.	99158540140001452	1438-4221	1618-0607	1438-4221		
international journal of medical robotics + computer assisted surgery: MRCAS.	99158527360001452	1478-5951	1478-596X	1478-5951		
International journal of medical sciences.	99157348000001452	1449-1907		1449-1907		
International journal of medical toxicology and forensic medicine.	 	2251-8770	2251-8762	2251-8770		
International journal of medical toxicology and legal medicine.		0972-0448		0972-0448		
International journal of medicinal and Aromatic Plants.	99157406460001452		2249-4340			
International journal of medicinal chemistry.	99157377120001452	2090-2069	2090-2077	2090-2069		
International journal of medicinal Mushrooms.	 	1521-9437	1940-4344	1521-9437		
International journal of men's health.	99157811110001452	1532-6306	1933-0278	1532-6306		
International journal of mental health and addiction.	99157841830001452	1557-1874	1557-1882	1557-1874		
International journal of mental health nursing.	99157811850001452	1445-8330	1447-0349	1445-8330		
International journal of mental health systems.	99157230640001452		1752-4458			
International journal of methods in psychiatric research.	99157830460001452	1049-8931	1557-0657	1049-8931		
International journal of molecular epidemiology and genetics.	99161958021701452		1948-1756			
International journal of molecular imaging.	99157381190001452	2090-1712	2090-1720	2090-1712		
International journal of molecular medicine.	99157436630001452	1107-3756	1791-244X	1107-3756		
International journal of molecular sciences.	99157356470001452	1661-6596	1422-0067	1661-6596		
International journal of Mycobacteriology.	99157421520001452	2212-5531	2212-554X	2212-5531		
International journal of nano and biomaterials.	 	1752-8933	1752-8941	1752-8933		
International journal of nanomedicine.	99157364260001452	1176-9114	1178-2013	1176-9114		
International journal of nephrology and renovascular disease.	99157361870001452		1178-7058			
International journal of network management.	99158527740001452	1055-7148	1099-1190	1055-7148		
International journal of neural systems.	99157811870001452	0129-0657		0129-0657		
International journal of neuropsychopharmacology.	99158482130001452	1461-1457	1469-5111	1461-1457		
International journal of neuroscience.	99157830260001452	0020-7454	1563-5279	0020-7454		
International journal of nursing education scholarship.	99161846351801452	2194-5772	1548-923X	2194-5772		
International journal of nursing knowledge.	99157872850001452	2047-3087	2047-3095	2047-3087		
International journal of nursing practice.	99157830630001452	1322-7114	1440-172X	1322-7114		
International journal of nursing sciences.	99161778058801452	2352-0132		2352-0132		
International journal of nursing studies.	99161966099001452	0020-7489	1873-491X	0020-7489		
International journal of nursing terminologies and classifications: the official journal of NANDA International.	99157811500001452	1541-5147	1744-618X	1541-5147		
"International journal of nutrition, pharmacology, neurological diseases."	99157687400001452	2231-0738	2231-2722	2231-0738		
International journal of obesity.	99157719320001452	0307-0565	1476-5497	0307-0565		
International journal of obstetric anesthesia.	99158432290001452	0959-289X	1532-3374	0959-289X		
International journal of occupational and environmental health.	99161826706101452	1077-3525	2049-3967	1077-3525		
International journal of occupational and environmental medicine.	99157380650001452 99161957325601452	2008-6520	2008-6814	2008-6520		
International journal of occupational medicine and environmental health.	99157811240001452	1232-1087	1896-494X	1232-1087		
International journal of occupational safety and ergonomics : JOSE.	99157621580001452	1080-3548		1080-3548		
International journal of offender therapy and comparative criminology.	99158520620001452	0306-624X	1552-6933	0306-624X		
International journal of older people nursing.	99158191230001452	1748-3735	1748-3743	1748-3735		
International journal of oncology.	99157435390001452	1019-6439	1791-2423	1019-6439		
International journal of oral & maxillofacial implants.		0882-2786	1942-4434	0882-2786		
International journal of oral and Maxillofacial surgery.	99158434860001452	0901-5027	1399-0020	0901-5027		
International journal of oral and maxillofacial surgery.	99158434860001452	0901-5027	1399-0020	0901-5027		
International journal of oral science.	99157623970001452	1674-2818	2049-3169	1674-2818		
International journal of organ transplantation medicine.	99157372760001452	2008-6482	2008-6490	2008-6482		
International journal of orofacial myology : official publication of International Association of Orofacial Myology.		0735-0120		0735-0120		
International journal of orthodontics.		1539-1450		1539-1450		
International journal of orthopaedic and trauma nursing.	99161967522001452	1878-1241	1878-1292	1878-1241		
International journal of osteoarchaeology.	99158528970001452	1047-482X	1099-1212	1047-482X		
International journal of osteopathic medicine.	99158434670001452	1746-0689	1878-0164	1746-0689		
International journal of osteoporosis and metabolic disorders.	99157762130001452	1994-5442	2077-2157	1994-5442		
International journal of ozone therapy.	99157873370001452	1972-3539		1972-3539		
International journal of paediatric dentistry.	99158528830001452	0960-7439	1365-263X	0960-7439		
International journal of palliative nursing.	99158193100001452	1357-6321		1357-6321		
International journal of pediatric endocrinology.	99157228950001452	1687-9848	1687-9856	1687-9848		
International journal of pediatric obesity.	99157811020001452	1747-7166	1747-7174	1747-7166		
International journal of pediatric otorhinolaryngology.	99158434500001452	0165-5876	1872-8464	0165-5876		
International journal of pediatric otorhinolaryngology Extra.	99161967532801452		1871-4048			
International journal of pediatrics and adolescent medicine.	99161967643501452	2352-6467		2352-6467		
International journal of Peptide research and therapeutics.	991618196701452	1573-3149	1573-3904	1573-3149		
International journal of Peptides.	99157379020001452	1687-9767	1687-9775	1687-9767		
International journal of periodontics & restorative dentistry.		0198-7569	1945-3388	0198-7569		
International journal of Perioperative Ultrasound and applied technologies.		2277-7466		2277-7466		
International journal of pharma and bio sciences.	99162049943501452		0975-6299			
International journal of pharma medicine and biological sciences.		2278-5221		2278-5221		
International journal of pharmaceutical and clinical research.			0975-1556			
International journal of pharmaceutical and phytopharmacological research.	 	2250-1029	2249-6084	2250-1029		
