Title,MMSID,ISSN,ISSN1,,
Journal of trauma nursing : the official journal of the Society of Trauma Nurses.,99158191440001400,1078-7496,,,
Journal of traumatic stress.,99157824430001400,0894-9867,1573-6598,,
Journal of travel medicine.,99157780150001400,1195-1982,1708-8305,,
Journal of tropical medicine.,99157361370001400,1687-9686,1687-9694,,
Journal of tropical pediatrics.,99157770930001400,0142-6338,1465-3664,,
Journal of Ultrasound.,99161958017701400,1971-3495,1876-7931,,
Journal of ultrasound in medicine .,99162010636601400,0278-4297,1550-9613,,
Journal of UOEH.,99157259300001400,0387-821X,,,
Journal of urban health : bulletin of the New York Academy of medicine.,99158516380001400,1099-3460,1468-2869,,
journal of urology.,99158436360001400,0022-5347,1527-3792,,
Journal of vascular Access.,,1129-7298,,,
Journal of vascular and interventional radiology: JVIR.,99158432280001400,1051-0443,1535-7732,,
Journal of vascular nursing : official publication of the Society for Peripheral Vascular Nursing.,99161967550301400,1062-0303,1532-6578,,
Journal of vascular research.,99157751240001400,1018-1172,1423-0135,,
Journal of vascular surgery cases.,99161967403501400,,2352-667X,,
Journal of vascular surgery.,99157421290001400,0741-5214,1097-6809,,
Journal of vascular surgery: Venous and lymphatic disorders.,99161871095101400,2213-333X,2213-3348,,
Journal of Vector Borne diseases.,99157369260001400,0972-9062,,,
Journal of vector ecology : journal of the Society for Vector Ecology.,99157635740001400,1081-1710,1948-7134,,
journal of venomous animals and toxins including tropical diseases.,99148011850001452 99157366320001452,1678-9180,1678-9199,,
Journal of venomous animals and toxins including tropical diseases.,99148011850001400,1678-9180,1678-9199,,
Journal of vestibular research : equilibrium & orientation.,99157824010001400,0957-4271,1878-6464,,
Journal of veterinary cardiology.,99161967621601400,1760-2734,1875-0834,,
Journal of veterinary dentistry.,,0898-7564,,,
"Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc.",99157509760001400,1040-6387,1943-4936,,
"Journal of veterinary emergency and critical care/American College of Veterinary Emergency and Critical Care, Veterinary Emergency & Critical Care Society.",99157822630001400,1479-3261,1476-4431,,
Journal of veterinary internal medicine.,99157845500001400,0891-6640,1939-1676,,
Journal of veterinary medical education.,,0748-321X,,,
Journal of veterinary medical science.,99157201560001400,0916-7250,1347-7439,,
Journal of veterinary medicine. Series B = Zentralblatt f¸r Veterin‰rmedizin. Reihe B. (continued by Zoonoses and Public Health).,99157822980001400,†0931-1793,1439-0450,,
Journal of veterinary pharmacology and therapeutics.,99157822860001400,0140-7783,1365-2885,,
Journal of veterinary science.,99157347640001400,1229-845X,1976-555X,,
Journal of Viral entry., ,1748-0329,2040-3925,,
Journal of Viral hepatitis.,99157823020001400,1352-0504,1365-2893,,
Journal of virological methods.,99161967498701400,0166-0934,1879-0984,,
Journal of virology.,99157650320001400,0022-538X,1098-5514,,
Journal of virtual reality and broadcasting: JVRB.,99162049891801400,,1860-2037,,
Journal of visceral surgery.,99158522160001400,,1878-7886,,
Journal of vision.,99157332760001400,,1534-7362,,
Journal of visual communication in medicine.,99157823270001400,1745-3054,1745-3062,,
Journal of visualization /$cthe Visualization Society of Japan.,99161941799601400,1556-6803,1875-8975,,
Journal of visualized experiments : JoVE.,99158423350001400,,1940-087X,,
Journal of vocational rehabilitation.,99157822540001400,1052-2263,1878-6316,,
Journal of voice: official journal of the Voice Foundation.,99158435390001400,0892-1997,1873-4588,,
Journal of Water and health.,99157860870001400,1477-8920,,,
Journal of Western Society of Periodontology/Periodontal abstracts.,,0148-4893,,,
Journal of wildlife diseases.,99157517540001400,0090-3558,1943-3700,,
Journal of wildlife management .,99158308210001400,0022-541X,1937-2817,,
Journal of women & aging.,99158512050001400,0895-2841,1540-7322,,
Journal of women's health.,99157752010001400,1540-9996,1931-843X,,
Journal of women's health & genderbased medicine.,,,,,
Journal of women's health physical therapy.,99161941799601400,1556-6803,2152-0887,,
Journal of workplace behavioral health.,99158511790001400,1555-5240,1555-5259,,
Journal of wound care.,99158191530001400,0969-0700,,,
"Journal of wound, ostomy, and continence nursing : official publication of The Wound, Ostomy and Continence Nurses Society.",99158506000001400,1071-5754,1528-3976,,
Journal of Wrist surgery.,99161958017501400,2163-3916,2163-3924,,
Journal of Xenobiotics.,99157410110001400,,2039-4705,,
Journal of Xi'an Jiaotong University (medical Sciences).,,1671-8259,,,
Journal of xray science and technology.,99157823930001400,0895-3996,1095-9114,,
Journal of X-ray science and technology.,99157823930001400,0895-3996,1095-9114,,
Journal of Young pharmacists.,99157364540001400,0975-1483,0975-1505,,
Journal of youth and adolescence.,99158201950001400,0047-2891,1573-6601,,
Journal of Zanjan University of Medical Sciences and Health Services.,99161966783701400,1606-9366,,,
Journal of Zhejiang University: Science B.,991618709601452,1673-1581,1862-1783,,
Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians.,99158307960001400,1042-7260,,,
Journal phlebology and lymphology.,99157856100001400,1983-8905,,,
Journal trauma. .,99158506770001400,0022-5282,1529-8809,,
"Journal, Indian Academy of clinical medicine.",99157509520001400,0972-3560,,,
"Journals of gerontology. Series A, Biological sciences and medical sciences.",99157751150001400,1079-5006,1758-535X,,
"Journals of gerontology. Series B, Psychological sciences and social sciences.",99157751170001400,1079-5014,1758-5368,,
JPRAS open.,99161967469801400,,2352-5878,,
JRAAS - journal of the renin-Angiotensin-Aldosterone system.,99157563620001400,1470-3203,1752-8976,,
JRSM cardiovascular disease.,,,2048-0040,,
JRSM open.,991618820101452,,2054-2704,,
JRSM short reports.,99157396410001400,,2042-5333,,
JSLS : Journal of the Society of Laparoendoscopic Surgeons.,99158798610001400,1086-8089,1938-3797,,
Jundishapur journal of microbiology.,99157878360001400,2008-3645,2008-4161,,
Jundishapur journal of natural pharmaceutical products.,99157382120001400,1735-7780,2228-7876,,
Jurnalul Roman de anestezie terapie intensiva/Romanian journal of anaesthesia and intensive Care.,,1582-652X,,,
Justus Liebig's annalen der chemie und pharmacie. (continued by European journal of Organic chemistry).,99162010636201400,0075-4617,,,
Juvenile & family court journal.,,,,,
"K?Ák?¥by?Á Gakkai zasshi. The journal of the Stomatological Society, Japan.",99157662660001400,0300-9149,1884-5185,,
"Kagakushi kenkyu. [journal of the history of science, Japan.",,0022-7692,,,
Kaibogaku zasshi. journal of anatomy.,,0022-7722,,,
Kaku igaku. the Japanese journal of nuclear medicine.,,0022-7854,,,
Kansensh?Ágaku zasshi. the journal of the Japanese Association for Infectious Diseases.,99157610060001452 99131339080001452,0387-5911,,,
Kaohsiung journal of medical sciences.,99158436560001400,1607-551X,,,
Kardiologe., ,1864-9718,1864-9726,,
Kardiologia Polska.,99157358140001400,0022-9032,,,
Kardiologicka revue., ,1212-4540,1801-8653,,
Kardiologie up2date.,99158530880001400,1611-6534,1860-3513,,
Kardiologiia.,,0022-9040,,,
Kardiotechnik.,,0941-2670,,,
Kardiovaskulare Medizin.,99157342120001400,1423-5528,1662-629X,,
Kathmandu University medical journal., ,1812-2027,4812-2078,,
Keio journal of medicine.,99157667740001400,0022-9717,1880-1293,,
Kekkaku : [Tuberculosis].,99157678150001400,0022-9776,1884-2410,,
Kennedy Institute of Ethics journal. Kennedy Institute of Ethics.,99161761264301400,1054-6863,1086-3249,,
Kentucky nurse.,99158191050001400,0742-8367,,,
Khirurgiia., ,0023-1207,2309-5628,,
Khirurgii‘?Üa‘?∞.,,0450-2167,,,
Kidney and Blood pressure research.,99157411990001400,1420-4096,1423-0143,,
Kidney international Supplements.,99157873110001400,2157-1724,2157-1716,,
Kidney international. International Society of Nephrology.,99157719610001400,0085-2538,1523-1755,,
Kidney research and clinical practice.,99161856653201400,2211-9132,2211-9140,,
Kinderkrankenschwester : Organ der Sektion Kinderkrankenpflege.,,0723-2276,,,
Kinesitherapie.,99161967472201400,1779-0123,,,
Kinetoplastid biology and disease.,99157229890001400,,1475-9292,,
Klimik dergisi.,99157380150001452 99157543180001452 ,1301-143X,1309-1484,,
Klinicheskaia laboratornaia diagnostika.,,0869-2084,,,
Klinicheskaia meditsina.,,0023-2149,,,
Klinichna khirurhiia.,,0023-2130,,,
Klinicka biochemie a metabolismus.,,1210-7921,,,
Klinicka Farmakologie a Farmacie., ,1212-7973,1803-5353,,
Klinicka imunologia a Alergologia.,,1335-0013,,,
Klinicka mikrobiologie a infekcni lekarstvi.,,1211-264X,,,
Klinicka onkologie., ,0862-495X,1802-5307,,
Klinik psikofarmakoloji Bulteni.,99157349930001400,1017-7833,1302-9657,,
Klinika oczna.,,0023-2157,,,
Klinikarzt.,99158530610001400,0341-2350,1439-3859,,
Klinische Monatsblatter fur Augenheilkunde.,99158530990001400,0023-2165,1439-3999,,
Klinische neurophysiologie.,99158530390001400,1434-0275,1439-4081,,
Klinische padiatrie.,99158530760001400,0300-8630,1439-3824,,
Knee.,99158435100001400,0968-0160,1873-5800,,
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA.", ,0942-2056,1433-7347,,
Kobe journal of medical sciences.,99157348430001400,0023-2513,1883-0498,,
Kokuritsu Iyakuhin Shokuhin Eisei Kenky?¥jo h?Ákoku = Bulletin of National Institute of Health Sciences.,99161762286601400,1343-4292,,,
"Kompendium orthopadie, Unfallchirurgie und rheumatologie.", ,1616-9689,1860-0638,,
Kongressband.,,,1868-1050,,
Konuralp Tip dergisi.,99157372720001400,1309-3878,,,
Koomesh.,99157375770001400,1608-7046,,,
Korean Circulation journal.,99157671540001400,1738-5520,1738-5555,,
Korean journal of anesthesiology.,99157671220001400,2005-6419,2005-7563,,
Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi.,99157482730001400,1598-9992,,,
Korean journal of internal medicine.,99157594970001400,1226-3303,2005-6648,,
Korean journal of medical education.,99157671830001400,2005-727X,2005-7288,,
Korean journal of medical history.,99157358840001400,1225-505X,,,
Korean journal of medical Mycology.,,1226-4709,,,
Korean journal of microbiology and biotechnology.,99158474040001400,1598-642X,,,
Korean journal of ophthalmology : KJO.,99157564320001400,1011-8942,,,
Korean journal of pain.,99157672380001400,2005-9159,2093-0569,,
Korean journal of parasitology.,99157348420001400,0023-4001,1738-0006,,
Korean journal of pediatric infectious diseases.,,1226-3923,,,
Korean journal of pediatrics.,99157671880001400,1738-1061,2092-7258,,
Korean journal of pharmacognosy.,99158429600001400,0253-3073,,,
Korean journal of physiology and pharmacology.,99157671140001400,1226-4512,2093-3827,,
Korean journal of radiology.,99157332310001400,1229-6929,,,
KOS.,,0393-2095,,,
Kranion.,,1577-8843,,,
Krankenhaushygiene und infektionsverhutung.,99161967621201400,0720-3373,1876-4495,,
Krankenhaushygiene up2date.,99158511340001400,1862-5797,1862-5800,,
Krankenhauspharmazie.,,0173-7597,,,
Krankenpflege. Soins infirmiers.,,0253-0465,,,
"Kulak burun boÉ¸az ihtisas dergisi : KBB = journal of ear, nose, and throat.",,1300-7475,,,
Kurume medical journal.,99157667640001400,0023-5679,1881-2090,,
Kuwait medical journal.,,0023-5776,,,
Kwartalnik historii nauki i techniki : Kwartal'nyÉ? zhurnal istorii nauki i tekhniki -.,,0023-589X,,,
Kyobu geka. The Japanese journal of thoracic surgery.,,0021-5252,,,
L' orthodontie fran?ﬂaise., ,0078-6608,1954-3395,,
L?ßkartidningen.,99157592820001400,0023-7205,1652-7518,,
L?∂knablaÉÎiÉÎ.,99161967134101400,0023-7213,1670-4959,,
La medicina del lavoro.,,0025-7818,,,
La pediatria medica e chirurgica : medical and surgical pediatrics.,99161927151901400,0391-5387,2420-7748,,
La radiologia medica., ,0033-8362,1826-6983,,
Lab animal.,99158464180001400,0093-7355,1548-4475,,
Lab on a chip - minaturisation for chemistry and biology.,99158502800001400,1473-0197,1473-0189,,
LaboratoriumsMedizin.,99158525700001400,0342-3026,1439-0477,,
Laboratory animals.,99157650580001400,0023-6772,1758-1117,,
Laboratory hematology : official publication of the International Society for Laboratory Hematology., ,1080-2924,1523-6528,,
Laboratory investigation.,99157719620001400,0023-6837,1530-0307,,
Laboratory medicine.,99157562150001400,0007-5027,1943-7730,,
